config,sort,aa,ms_per_iter,fps
aa-only,0,1,20.31,49.2
aa-only,0,1,20.49,48.8
aa-only,0,1,20.14,49.7
aa-only,0,1,21.31,46.9
aa-only,0,1,20.81,48.1
aa-only,0,1,19.83,50.4
aa-only,0,1,19.73,50.7
aa-only,0,1,20.31,49.2
aa-only,0,1,20.39,49.0
aa-only,0,1,20.38,49.1
aa-only,0,1,19.71,50.7
aa-only,0,1,19.63,50.9
aa-only,0,1,20.53,48.7
aa-only,0,1,20.45,48.9
aa-only,0,1,20.40,49.0
aa-only,0,1,19.81,50.5
aa-only,0,1,19.52,51.2
aa-only,0,1,19.58,51.1
aa-only,0,1,20.52,48.7
aa-only,0,1,20.52,48.7
aa-only,0,1,20.31,49.2
aa-only,0,1,19.53,51.2
aa-only,0,1,19.52,51.2
aa-only,0,1,20.03,49.9
aa-only,0,1,20.49,48.8
aa-only,0,1,20.42,49.0
aa-only,0,1,19.90,50.3
aa-only,0,1,19.67,50.8
aa-only,0,1,19.73,50.7
aa-only,0,1,20.52,48.7
aa-only,0,1,20.46,48.9
aa-only,0,1,20.21,49.5
aa-only,0,1,19.64,50.9
aa-only,0,1,19.55,51.2
aa-only,0,1,20.12,49.7
aa-only,0,1,20.37,49.1
aa-only,0,1,20.46,48.9
aa-only,0,1,19.67,50.8
aa-only,0,1,19.59,51.0
aa-only,0,1,19.72,50.7
aa-only,0,1,21.02,47.6
aa-only,0,1,20.62,48.5
aa-only,0,1,20.04,49.9
aa-only,0,1,19.74,50.6
aa-only,0,1,19.56,51.1
aa-only,0,1,20.16,49.6
aa-only,0,1,20.39,49.1
aa-only,0,1,20.41,49.0
aa-only,0,1,19.50,51.3
aa-only,0,1,19.54,51.2
all-on,1,1,36.11,27.7
all-on,1,1,36.54,27.4
all-on,1,1,36.29,27.6
all-on,1,1,35.31,28.3
all-on,1,1,36.47,27.4
all-on,1,1,36.43,27.4
all-on,1,1,35.30,28.3
all-on,1,1,35.88,27.9
all-on,1,1,36.43,27.5
all-on,1,1,35.49,28.2
all-on,1,1,35.66,28.0
all-on,1,1,36.50,27.4
all-on,1,1,35.57,28.1
all-on,1,1,35.43,28.2
all-on,1,1,36.34,27.5
all-on,1,1,35.78,27.9
all-on,1,1,35.32,28.3
all-on,1,1,36.52,27.4
all-on,1,1,36.02,27.8
all-on,1,1,35.27,28.4
all-on,1,1,37.00,27.0
all-on,1,1,36.10,27.7
all-on,1,1,35.39,28.3
all-on,1,1,36.29,27.6
all-on,1,1,36.56,27.4
all-on,1,1,35.40,28.3
all-on,1,1,36.07,27.7
all-on,1,1,36.50,27.4
all-on,1,1,35.61,28.1
all-on,1,1,36.01,27.8
all-on,1,1,36.60,27.3
all-on,1,1,35.74,28.0
all-on,1,1,35.71,28.0
all-on,1,1,36.56,27.3
all-on,1,1,35.87,27.9
all-on,1,1,35.62,28.1
all-on,1,1,37.07,27.0
all-on,1,1,35.97,27.8
all-on,1,1,35.35,28.3
all-on,1,1,36.49,27.4
all-on,1,1,36.21,27.6
all-on,1,1,35.38,28.3
all-on,1,1,36.33,27.5
all-on,1,1,36.27,27.6
all-on,1,1,35.49,28.2
all-on,1,1,36.22,27.6
all-on,1,1,36.51,27.4
all-on,1,1,35.53,28.1
all-on,1,1,36.15,27.7
all-on,1,1,36.60,27.3
