scene,compaction,ms_per_iter,fps
cornell,1,20.17,49.6
cornell,1,20.23,49.4
cornell,1,20.88,47.9
cornell,1,21.19,47.2
cornell,1,20.87,47.9
cornell,1,20.06,49.9
cornell,1,19.71,50.7
cornell,1,20.58,48.6
cornell,1,20.96,47.7
cornell,1,20.99,47.6
cornell,1,19.83,50.4
cornell,1,19.65,50.9
cornell,1,20.32,49.2
cornell,1,20.77,48.1
cornell,1,20.71,48.3
cornell,1,20.30,49.3
cornell,1,19.97,50.1
cornell,1,19.84,50.4
cornell,1,20.74,48.2
cornell,1,20.62,48.5
cornell,1,20.41,49.0
cornell,1,19.86,50.4
cornell,1,20.04,49.9
cornell,1,20.73,48.2
cornell,1,20.79,48.1
cornell,1,20.60,48.6
cornell,1,20.24,49.4
cornell,1,19.94,50.2
cornell,1,20.32,49.2
cornell,1,20.87,47.9
cornell,1,21.07,47.5
cornell,1,20.25,49.4
cornell,1,20.06,49.8
cornell,1,20.13,49.7
cornell,1,20.89,47.9
cornell,1,20.76,48.2
cornell,1,20.41,49.0
cornell,1,20.11,49.7
cornell,1,19.78,50.6
cornell,1,20.67,48.4
cornell,1,21.01,47.6
cornell,1,20.96,47.7
cornell,1,19.75,50.6
cornell,1,19.81,50.5
cornell,1,20.42,49.0
cornell,1,20.74,48.2
cornell,1,20.73,48.2
cornell,1,20.30,49.3
cornell,1,19.95,50.1
cornell,1,19.82,50.5
cornell,0,17.17,58.2
cornell,0,17.20,58.1
cornell,0,16.83,59.4
cornell,0,17.44,57.3
cornell,0,16.96,59.0
cornell,0,16.91,59.1
cornell,0,17.27,57.9
cornell,0,16.75,59.7
cornell,0,17.39,57.5
cornell,0,17.10,58.5
cornell,0,17.00,58.8
cornell,0,17.29,57.8
cornell,0,16.73,59.8
cornell,0,17.16,58.3
cornell,0,17.04,58.7
cornell,0,16.86,59.3
cornell,0,17.38,57.5
cornell,0,16.77,59.6
cornell,0,17.15,58.3
cornell,0,17.10,58.5
cornell,0,17.03,58.7
cornell,0,17.58,56.9
cornell,0,16.89,59.2
cornell,0,17.08,58.5
cornell,0,17.02,58.7
cornell,0,16.82,59.5
cornell,0,17.42,57.4
cornell,0,16.85,59.4
cornell,0,17.11,58.5
cornell,0,17.13,58.4
cornell,0,16.75,59.7
cornell,0,17.56,57.0
cornell,0,17.15,58.3
cornell,0,17.40,57.5
cornell,0,17.16,58.3
cornell,0,16.75,59.7
cornell,0,17.35,57.6
cornell,0,16.81,59.5
cornell,0,17.00,58.8
cornell,0,17.22,58.1
cornell,0,16.76,59.7
cornell,0,17.34,57.7
cornell,0,16.88,59.2
cornell,0,17.09,58.5
cornell,0,17.43,57.4
cornell,0,16.94,59.0
cornell,0,17.21,58.1
cornell,0,16.87,59.3
cornell,0,16.94,59.0
cornell,0,17.29,57.8
cornell_closed,1,35.86,27.9
cornell_closed,1,36.66,27.3
cornell_closed,1,35.87,27.9
cornell_closed,1,35.11,28.5
cornell_closed,1,36.24,27.6
cornell_closed,1,36.14,27.7
cornell_closed,1,35.10,28.5
cornell_closed,1,35.75,28.0
cornell_closed,1,35.89,27.9
cornell_closed,1,35.51,28.2
cornell_closed,1,36.29,27.6
cornell_closed,1,35.96,27.8
cornell_closed,1,35.44,28.2
cornell_closed,1,36.08,27.7
cornell_closed,1,36.04,27.7
cornell_closed,1,35.33,28.3
cornell_closed,1,36.36,27.5
cornell_closed,1,36.81,27.2
cornell_closed,1,35.59,28.1
cornell_closed,1,35.91,27.8
cornell_closed,1,36.14,27.7
cornell_closed,1,36.15,27.7
cornell_closed,1,37.16,26.9
cornell_closed,1,36.37,27.5
cornell_closed,1,35.63,28.1
cornell_closed,1,36.24,27.6
cornell_closed,1,35.99,27.8
cornell_closed,1,35.30,28.3
cornell_closed,1,36.40,27.5
cornell_closed,1,36.20,27.6
cornell_closed,1,35.56,28.1
cornell_closed,1,36.22,27.6
cornell_closed,1,35.84,27.9
cornell_closed,1,35.97,27.8
cornell_closed,1,37.04,27.0
cornell_closed,1,35.95,27.8
cornell_closed,1,35.39,28.3
cornell_closed,1,36.20,27.6
cornell_closed,1,35.95,27.8
cornell_closed,1,35.43,28.2
cornell_closed,1,36.20,27.6
cornell_closed,1,36.12,27.7
cornell_closed,1,35.48,28.2
cornell_closed,1,36.19,27.6
cornell_closed,1,35.62,28.1
cornell_closed,1,35.50,28.2
cornell_closed,1,36.73,27.2
cornell_closed,1,36.13,27.7
cornell_closed,1,35.20,28.4
cornell_closed,1,36.22,27.6
cornell_closed,0,20.31,49.2
cornell_closed,0,20.64,48.5
cornell_closed,0,20.53,48.7
cornell_closed,0,20.27,49.3
cornell_closed,0,20.25,49.4
cornell_closed,0,20.91,47.8
cornell_closed,0,20.41,49.0
cornell_closed,0,20.39,49.1
cornell_closed,0,20.57,48.6
cornell_closed,0,20.76,48.2
cornell_closed,0,20.20,49.5
cornell_closed,0,20.39,49.1
cornell_closed,0,21.05,47.5
cornell_closed,0,20.93,47.8
cornell_closed,0,20.95,47.7
cornell_closed,0,20.80,48.1
cornell_closed,0,20.16,49.6
cornell_closed,0,19.58,51.1
