scene,compaction,bounce,paths_alive
cornell,1,1,523164
cornell,1,2,362150
cornell,1,3,279680
cornell,1,4,222899
cornell,1,5,180366
cornell,1,6,146600
cornell,1,7,119912
cornell,1,8,0
cornell,0,1,640000
cornell,0,2,640000
cornell,0,3,640000
cornell,0,4,640000
cornell,0,5,640000
cornell,0,6,640000
cornell,0,7,640000
cornell,0,8,640000
cornell_closed,1,1,613916
cornell_closed,1,2,601084
cornell_closed,1,3,590284
cornell_closed,1,4,580254
cornell_closed,1,5,570499
cornell_closed,1,6,560637
cornell_closed,1,7,551106
cornell_closed,1,8,0
cornell_closed,0,1,640000
cornell_closed,0,2,640000
cornell_closed,0,3,640000
cornell_closed,0,4,640000
cornell_closed,0,5,640000
cornell_closed,0,6,640000
cornell_closed,0,7,640000
cornell_closed,0,8,640000
